group,observations,countries,mean_gold_share,median_gold_share,sd_gold_share,min_gold_share,max_gold_share
BRICS,107,5,6.77,5.38,5.948,0.47,23.418
Non-BRICS,484,27,6.035,3.314,8.91,0,68.492
