country_name,country_code,year,total_reserves,reserves_excluding_gold,gdp_per_capita,gdp_per_capita_growth,inflation,trade_share_gdp,manufacturing_share_gdp,fuel_exports_share,private_credit_share_gdp,political_stability,gold_reserves,gold_share,brics_dummy,group,gold_share_lag1,gdp_per_capita_lag1,gdp_per_capita_growth_lag1,inflation_lag1,trade_share_gdp_lag1,manufacturing_share_gdp_lag1,fuel_exports_share_lag1,private_credit_share_gdp_lag1,political_stability_lag1,delta_gold_share
Morocco,MAR,2019,26412762236.8499,25329860211.4799,3508.09765625,1.816420555729053,0.3033860365903833,75.99811587984217,14.763323536338676,1.5096725010458039,81.47485954891454,-0.345805376768112,1082902025.369999,4.09991963604315,0,Non-BRICS,3.7254958749722498,3501.69799804688,1.9141066327099452,1.803916711418959,77.25488752439892,14.870356255704936,1.1650727020651188,78.95681017921676,-0.3484927713871,0.3744237610708998
Morocco,MAR,2020,35997639773.4544,34653006798.9454,3268.0302734375,-8.138669504058356,0.70596866133826075,68.84380339043642,15.177396164956003,0.5150554977628767,90.93144497529582,-0.359523236751556,1344632974.5090027,3.7353364914234466,0,Non-BRICS,4.09991963604315,3508.09765625,1.816420555729053,0.3033860365903833,75.99811587984217,14.763323536338676,1.5096725010458039,81.47485954891454,-0.345805376768112,-0.364583144619703
Morocco,MAR,2021,35648269520.1527,34354119831.133698,3785.93627929688,7.060629957482803,1.401958839620059,75.52341717565055,15.235675795084145,0.6907865903202329,86.0589211866222,-0.40256267786026,1294149689.0190048,3.63032962452047,0,Non-BRICS,3.7353364914234466,3268.0302734375,-8.138669504058356,0.70596866133826075,68.84380339043642,15.177396164956003,0.5150554977628767,90.93144497529582,-0.359523236751556,-0.10500686690297645
Morocco,MAR,2022,32314245660.4383,31025606470.8918,3463.1376953125,0.7790781504135964,6.657042027590669,100.9063102016514,16.04984931074382,1.0096516163083058,87.53621775554072,-0.362119138240814,1288639189.5465012,3.9878362103440863,0,Non-BRICS,3.63032962452047,3785.93627929688,7.060629957482803,1.401958839620059,75.52341717565055,15.235675795084145,0.6907865903202329,86.0589211866222,-0.40256267786026,0.35750658582361616
Mexico,MEX,1999,31828401325.2095,31782190512.9215,6499.971829504254,1.125116710461242,16.58561697075381,48.01224957611051,21.25884531536048,7.139569808034849,15.538535001193859,NA,46210812.2879982,0.14518734954933848,0,Non-BRICS,0.20133235284947398,5832.693420044676,4.458526749963326,15.92839501193533,48.031884140017894,22.22472404813009,5.946676522639178,17.93177764373418,-0.423062264919281,-0.0561450033001355
Mexico,MEX,2001,44804667773.015,44740742121.561005,7952.76479510706,-1.9162965888934025,6.36773806235037,44.740109012317305,20.026058557155007,7.973724481278921,12.24097723337798,NA,63925651.45399475,0.14267632064107383,0,Non-BRICS,0.19236189353088315,7524.027138009098,3.421405142147975,9.491561494354025,49.91040918724975,21.044577412312414,9.66529118455076,14.347780951842731,-0.200209870934486,-0.04968557288980932
Mexico,MEX,2003,59026700311.4513,58955641644.4202,7434.0746485155005,-0.21945014507326732,4.546900121187184,48.70041688083802,18.828065610038045,11.232672964668474,14.641275462878166,-0.11687808483839,71058667.03110504,0.12038393922778623,0,Non-BRICS,0.15196995938819358,7983.033983817592,-1.6606305352465114,5.030727331512953,45.209829259652025,19.231226775083535,8.899244328997149,14.178262536602606,-0.0583082623779774,-0.031586020160407347
Mexico,MEX,2004,64201699862.8694,64140696567.4203,7849.667596495654,2.161062296453835,4.688408848431427,52.040620033563165,18.845668017008897,12.38518889969879,14.105493264158373,-0.214082449674606,61003295.44909668,0.09501819356714183,0,Non-BRICS,0.12038393922778623,7434.0746485155005,-0.21945014507326732,4.546900121187184,48.70041688083802,18.828065610038045,11.232672964668474,14.641275462878166,-0.11687808483839,-0.025365745660644395
Mexico,MEX,2005,74109703346.0659,74054137348.67021,8671.758918851627,0.7454132519731473,3.988057145974374,52.56264465178858,18.077079497080735,14.885617570884305,15.313590813183254,-0.445820868015289,55565997.39569092,0.07497803241259449,0,Non-BRICS,0.09501819356714183,7849.667596495654,2.161062296453835,4.688408848431427,52.040620033563165,18.845668017008897,12.38518889969879,14.105493264158373,-0.214082449674606,-0.020040161154547348
Mexico,MEX,2006,76329367204.2543,76270546023.3582,9512.635753466991,3.3957767754231156,3.629467624391321,54.48211608861695,18.999029901736357,15.456746415012743,18.351891672796857,-0.636888444423676,58821180.896102905,0.07706231959017792,0,Non-BRICS,0.07497803241259449,8671.758918851627,0.7454132519731473,3.988057145974374,52.56264465178858,18.077079497080735,14.885617570884305,15.313590813183254,-0.445820868015289,0.002084287177583438
